subject_num overall_main_dp corrected_NN_HR corrected_NI_HR corrected_IN_HR corrected_II_HR corrected_WN_CRR corrected_WI_CRR main_dp_II main_dp_IN main_dp_NI main_dp_NN typed_correct_dp_II typed_correct_dp_IN typed_correct_dp_NI typed_correct_dp_NN Overall_list_Accuracy n_Accuracy i_Accuracy main_list_Accuracy main_n_Accuracy main_i_Accuracy main_Initiation main_Submission main_n_initiation main_n_submission main_i_initiation main_i_submission RT median_diff_RT median_inverted_RT median_normal_RT II_RT IN_RT NI_RT NN_RT WI_RT WN_RT main_RT main_II_RT main_IN_RT main_NI_RT main_NN_RT main_WI_RT main_WN_RT miss_II_RT miss_IN_RT miss_NI_RT miss_NN_RT FA_WN_RT FA_WI_RT total_time_taken diff_dp_old_new diff_submission diff_dp_old_new_1 diff_dp_old_new_2 dp_rII dp_eII dp_rIN dp_eIN dp_rNI dp_eNI dp_rNN dp_eNN production production_rt id
1 1.89455658197486 0.841463414634146 0.74390243902439 0.890243902439024 0.939024390243902 0.820987654320988 0.759259259259259 2.25055706022774 2.14696178335748 1.35934529406294 1.91962606766553 3.0432177267635 2.08275892383549 2.33295603743694 2.04314428866321 0.857954545454545 0.920454545454545 0.795454545454545 0.875 0.925 0.825 0.964000000000169 1.51499999999987 0.832000000000107 1.42399999999995 1.09000000000003 1.697 0.731999999999971 0.0169999999999959 0.664999999999964 0.647999999999968 0.664999999999964 0.647000000000048 0.664000000000101 0.630999999999986 0.830999999999904 0.798000000000002 0.731999999999971 0.664999999999964 0.656500000000108 0.663999999999987 0.630999999999972 0.831000000000017 0.805499999999995 0.730999999999938 0.714000000000055 0.781000000000063 0.698000000000093 0.964500000000044 0.680000000000064 -112.945 0.359734254052569 0.273000000000053 -0.109689716715335 0.109689716715335 2.14718268371356 3.57397121467033 1.9348431322034 2.43265535878722 1.60490572706408 2.23070297898543 1.9348431322034 1.9348431322034 12.55555556 9.918 KBWHHZB
2 1.18583169796136 0.451219512195122 0.280487804878049 0.695121951219512 0.646341463414634 0.895061728395062 0.845679012345679 1.39353748524911 1.76432662683693 0.436682708481135 1.13132414028491 1.86761030588309 2.24405612446753 0.999397425029531 1.4275544041545 0.886363636363636 0.920454545454545 0.852272727272727 0.8875 0.925 0.85 1.05450000000003 1.7885 0.771500000000003 1.33799999999997 2.07149999999999 3.23749999999998 1.17100000000005 0.235999999999819 1.238 1.00200000000018 1.80099999999999 0.870000000000005 1.48700000000004 0.97849999999994 1.87900000000002 0.862000000000023 1.11199999999985 1.85999999999999 0.862500000000011 1.48700000000008 0.962499999999977 1.81200000000007 0.862000000000023 1.77049999999997 0.794999999999959 1.63699999999994 0.920999999999992 0.812999999999874 2.31949999999995 -70.625 0.559199496352549 1.89950000000002 0.452768289493919 0.579299056233215 0.830496191735805 1.46462213678326 0.241040393886027 1.75906017384508 -0.377965768251923 0.726381172215675 -0.241040393886027 0.967421566101701 14.58569708 10.741 KBTZHTR
3 1.04555634742112 0.524390243902439 0.402439024390244 0.5 0.426829268292683 0.796296296296296 0.944444444444444 1.40876638092831 0.828464648581135 1.34617982728407 0.889640059619686 0.922645389406185 0.589455797849778 0.648782202137326 0.688563657672677 0.789772727272727 0.909090909090909 0.670454545454545 0.76875 0.9 0.6375 0.949600000000032 1.71490000000017 0.848250000000007 1.46609999999998 1.1979 2.06619999999998 1.04960000000005 -0.0822000000001708 1.01609999999994 1.09830000000011 1.01609999999994 0.830600000000004 1.18319999999994 0.948800000000034 1.31619999999998 0.915349999999989 1.03154999999998 1.01609999999994 0.957249999999931 1.18214999999992 0.965200000000095 1.27449999999999 0.890650000000051 1.41519999999991 1.18175000000002 1.37405000000012 1.33230000000003 1.03194999999994 1.13959999999997 -128.8687 0.764754169441916 0.600099999999998 1.34384151183934 0.44152015304428 -0.497200570681554 0.40186426010235 -0.70910391088962 0.40186426010235 -0.637484160962377 0.40186426010235 -0.830496191735805 0.648322503863078 3.005642361 47.4138 KTPTRRF
4 2.01293524775507 0.646341463414634 0.817073170731707 0.865853658536585 0.914634146341463 0.858024691358025 0.87037037037037 2.49800012478956 2.17848964828622 2.03241098887833 1.44694853798383 3.10112340946361 2.66894154058456 2.49748616162262 1.94500316295821 0.960227272727273 0.988636363636364 0.931818181818182 0.9625 0.9875 0.9375 1.00749999999999 1.7915000000001 0.849000000000046 1.61600000000021 1.28200000000004 2.06600000000003 1.048 -0.0739999999999554 0.923999999999978 0.997999999999934 0.914999999999964 0.914999999999964 1.06299999999999 0.798499999999876 1.27550000000002 1.08199999999999 1.08150000000006 0.91599999999994 0.948999999999955 1.09899999999971 0.831500000000005 1.33999999999992 1.11500000000001 2.21599999999989 1.51600000000008 1.24900000000025 1.71499999999997 1.99800000000005 2.25750000000005 -78.81 0.68387451167665 0.449999999999818 2.02666166109115 0.175782958358326 2.56064038412475 2.94817396274898 1.75906017384508 3.05845261070857 2.23070297898543 2.14718268371356 1.33352792290227 1.95932517482362 3.441802253 26.867 KTRHPDR
5 1.6703746557682 0.695121951219512 0.768292682926829 0.841463414634146 0.841463414634146 0.771604938271605 0.833333333333333 1.96791211172102 1.74463328783948 1.70065734928721 1.25456438488339 2.48701944920254 1.73980517822579 2.26770856821913 1.03227745544629 0.897727272727273 0.931818181818182 0.863636363636364 0.89375 0.925 0.8625 0.981599999999958 1.83100000000002 0.873349999999959 1.59014999999998 1.21469999999999 2.06490000000008 0.964399999999841 0.000950000000045748 0.798650000000009 0.797699999999963 0.847750000000048 0.689749999999975 0.84800000000007 0.706149999999894 1.33089999999999 0.972849999999994 0.981050000000096 0.86385000000007 0.689749999999975 0.880999999999972 0.747799999999899 1.44760000000019 1.00630000000001 1.00574999999992 1.35674999999998 0.981200000000058 1.27300000000002 1.03140000000002 1.53190000000006 -76.8929 0.614667188867617 0.4747500000001 1.42906484102428 0.923344477526626 0.919700308024885 1.74744993974803 1.55687736395148 1.9348431322034 0.779416717744062 1.24963771316421 0.830496191735805 1.75906017384508 0.063688859 10.8066 KBZFKZK
6 2.1203953586496 0.817073170731707 0.792682926829268 0.914634146341463 0.963414634146341 0.858024691358025 0.796296296296296 2.62022893595965 2.44134324725911 1.64423036251207 1.97575411134788 3.36204385654176 2.28040304507507 2.39099566414829 1.95165652654803 0.943181818181818 0.965909090909091 0.920454545454545 0.95 0.975 0.925 1.10845 1.75 0.942400000000021 1.55045000000001 1.29895000000008 1.88160000000002 0.996700000000004 -0.0611999999999853 0.873300000000086 0.934500000000071 0.948200000000043 0.832000000000107 1.03145000000005 0.868499999999926 1.24920000000009 0.975500000000011 0.981700000000046 0.933999999999969 0.832000000000107 1.03965000000005 0.867500000000064 1.21664999999996 0.967999999999847 1.19599999999991 1.19820000000004 1.28930000000003 1.09839999999997 1.02949999999998 1.15605000000005 -73.4199 0.477293879400571 0.331150000000008 0.542276956649484 1.47458646397757 3.05845261070857 2.94817396274898 1.9348431322034 3.57397121467033 2.38485742576643 1.75906017384508 1.75906017384508 2.56064038412475 0 12.8879 KTHBWKD
7 1.47899871583803 0.74390243902439 0.74390243902439 0.792682926829268 0.768292682926829 0.820987654320988 0.722222222222222 1.32269158103529 1.73490123597714 1.2448793030842 1.57455902728064 1.68628961892442 1.40167359934969 1.60307857979928 1.22511281154736 0.931818181818182 0.977272727272727 0.886363636363636 0.925 0.975 0.875 1.05005000000003 1.91444999999999 0.915599999999927 1.71525 1.49850000000002 2.40724999999995 0.965599999999995 0.00374999999996817 0.900100000000009 0.896350000000041 1.0471 0.815499999999986 1.02225 0.822500000000048 1.14850000000001 0.889649999999961 0.947700000000168 1.01429999999999 0.815099999999944 1.02235000000002 0.822500000000048 1.14124999999999 0.881499999999988 1.04769999999996 1.13030000000003 1.05574999999999 0.96429999999998 1.12335000000007 1.17244999999997 -59.1844 -0.208883163961609 0.69199999999995 -0.343657779802824 -0.29443803706182 0.70910391088962 2.94817396274898 1.38109440559315 1.75906017384508 1.08665636853133 1.75906017384508 1.08665636853133 1.75906017384508 53 18.8544 KTRPRTD
8 0.46581072004853 0.378048780487805 0.353658536585366 0.426829268292683 0.524390243902439 0.771604938271605 0.722222222222222 0.650631208888329 0.559690305125425 0.21399402761426 0.433533316837912 0.688563657672677 1.37210010502548 0.280789992154844 1.24143447308789 0.903409090909091 0.886363636363636 0.920454545454545 0.91875 0.8875 0.95 0.899000000000001 1.28060000000005 0.823500000000081 1.10680000000002 1.06895 1.56124999999997 0.664399999999887 -0.025100000000009 0.606499999999983 0.631599999999992 0.639499999999998 0.606199999999944 0.788999999999987 0.595550000000031 0.685299999999984 0.678049999999985 0.639700000000062 0.630899999999997 0.589199999999892 0.710450000000037 0.599500000000035 0.669099999999958 0.664650000000023 0.580600000000004 0.640199999999822 0.63515000000001 0.647199999999998 0.593449999999962 0.940050000000099 -4.9433 0.130642679204012 0.454449999999952 -0.36610635680057 0.140283590280823 -0.40186426010235 0.241040393886027 -0.36610635680057 -0.282216147062508 -0.523256540948535 -0.497200570681554 -0.119648113039842 -0.779416717744062 1.017930058 6.5561 KBPPKRP
9 1.4007891867248 0.719512195121951 0.768292682926829 0.817073170731707 0.914634146341463 0.685185185185185 0.709876543209877 1.92288057093835 1.38651555843749 1.28625987461306 1.06364122137038 2.84097267337437 1.86122219728119 2.38485742576643 1.4366744499145 0.846590909090909 0.852272727272727 0.840909090909091 0.84375 0.8625 0.825 1.43139999999994 2.0489 1.14850000000001 1.79899999999998 1.77294999999992 2.41450000000003 0.965700000000197 0.0326000000001159 0.964700000000107 0.932099999999991 1.14890000000014 0.863899999999944 1.04720000000009 0.84699999999998 1.24680000000001 0.875299999999925 0.981999999999971 1.16340000000002 0.863899999999944 1.09619999999995 0.815699999999879 1.31299999999999 0.895400000000109 1.86459999999988 0.814099999999939 1.31510000000003 0.91579999999999 0.930899999999951 1.24599999999998 -129.8309 0.534110793941298 0.615500000000054 1.04008918323331 -0.125065962914543 1.9348431322034 2.57020819449706 1.55687736395148 1.38109440559315 1.60490572706408 1.38109440559315 0.830496191735805 1.55687736395148 0 9.6865 KBTBTFD
10 1.16773805910207 0.451219512195122 0.475609756097561 0.719512195121951 0.573170731707317 0.820987654320988 0.87037037037037 1.31259608237351 1.50052852857867 1.06696823424021 0.796554678157408 1.27608737179664 2.07546703286097 0.936083584080275 1.4275544041545 0.835227272727273 0.931818181818182 0.738636363636364 0.8375 0.95 0.725 1.43074999999999 2.37680000000006 1.19030000000006 2.04484999999988 2.25035000000008 3.22370000000006 1.31625000000003 0.027349999999899 1.20154999999994 1.17420000000004 1.6549 1.06380000000003 1.60514999999998 0.958499999999844 2.01299999999998 1.07014999999996 1.31510000000003 1.6549 1.06579999999997 1.53629999999998 1.00829999999991 2.01164999999995 1.06909999999993 2.00789999999995 0.955100000000016 1.66869999999994 1.06840000000011 1.06085000000002 1.71595000000002 -74.2863 0.682305613557259 1.17885000000018 1.17976111761186 0.682560546930307 -0.0411757531764814 1.08706967914154 1.60490572706408 1.46462213678326 -0.162568034022666 0.726381172215675 0.726381172215675 0.967421566101701 22.97297297 16.9027 KBTBFFD
